red_file,blue_file,score,score_red,score_blue,steps,ammo_red,ammo_blue
/home/owner/workspace-python/Domination-Game/domination/agent.py,/home/owner/workspace-python/Domination-Game/domination/agent.py,0.666,666,334,600,84,72
/home/owner/workspace-python/Domination-Game/domination/agent.py,/home/owner/workspace-python/Domination-Game/domination/agent.py,0.952,952,48,600,76,74
/home/owner/workspace-python/Domination-Game/domination/agent.py,/home/owner/workspace-python/Domination-Game/domination/agent.py,0.471,471,529,600,45,44
/home/owner/workspace-python/Domination-Game/domination/agent.py,/home/owner/workspace-python/Domination-Game/domination/agent.py,0.58,580,420,600,75,69
